user_id,event_type,event_time
685,click,2024-09-01 16:08:11.298451
560,view,2024-09-07 02:53:43.298451
630,view,2024-09-09 23:29:31.298451
193,view,2024-09-20 15:50:55.298451
836,purchase,2024-10-01 13:39:58.298451
764,view,2024-09-14 18:32:59.298451
708,view,2024-09-10 00:32:08.298451
360,view,2024-09-15 06:32:11.298451
10,view,2024-09-19 03:38:20.298451
724,view,2024-09-28 10:45:05.298451
278,view,2024-09-28 15:16:31.298451
755,click,2024-09-29 18:29:23.298451
805,view,2024-10-01 07:55:16.298451
600,view,2024-09-20 21:18:23.298451
71,purchase,2024-09-29 21:30:31.298451
473,view,2024-09-16 23:40:28.298451
601,view,2024-09-02 18:32:40.298451
397,view,2024-09-10 13:44:07.298451
315,view,2024-09-16 01:24:59.298451
706,purchase,2024-09-28 23:10:29.298451
487,view,2024-10-01 15:06:21.298451
552,view,2024-09-28 09:20:21.298451
88,view,2024-09-04 03:18:13.298451
175,view,2024-09-21 07:08:35.298451
601,purchase,2024-09-03 02:26:10.298451
850,view,2024-10-01 02:36:44.298451
678,click,2024-09-06 06:41:00.298451
538,view,2024-09-03 13:38:30.298451
846,view,2024-09-16 10:03:36.298451
73,click,2024-09-04 11:58:13.298451
778,view,2024-09-22 19:27:52.298451
917,view,2024-09-04 06:44:58.298451
116,view,2024-09-18 09:07:29.298451
977,view,2024-09-02 17:49:36.298451
756,click,2024-09-21 05:09:02.298451
710,click,2024-09-28 13:27:51.298451
848,view,2024-09-13 07:19:05.298451
432,click,2024-09-12 08:39:04.298451
449,view,2024-09-20 06:33:45.298451
851,view,2024-09-30 03:39:56.298451
100,click,2024-09-07 08:29:21.298451
985,click,2024-09-19 01:56:28.298451
178,click,2024-09-14 19:13:48.298451
756,purchase,2024-09-16 15:16:55.298451
798,click,2024-09-20 15:56:45.298451
660,click,2024-09-14 22:49:17.298451
148,view,2024-09-26 22:23:27.298451
911,click,2024-09-14 04:28:53.298451
424,view,2024-09-08 03:03:54.298451
289,view,2024-09-04 04:23:41.298451
962,view,2024-09-13 09:22:09.298451
266,view,2024-09-14 14:23:25.298451
698,view,2024-09-21 04:10:39.298451
640,view,2024-09-04 16:09:57.298451
545,view,2024-09-20 09:27:49.298451
544,purchase,2024-09-12 14:04:11.298451
715,purchase,2024-09-29 01:05:18.298451
245,view,2024-09-18 16:12:35.298451
152,view,2024-09-27 21:26:00.298451
676,view,2024-09-06 07:55:30.298451
511,click,2024-09-18 06:46:42.298451
460,view,2024-09-17 00:04:53.298451
883,view,2024-09-16 10:28:11.298451
184,click,2024-09-02 22:16:34.298451
29,view,2024-09-11 09:19:51.298451
803,click,2024-09-10 00:35:11.298451
129,view,2024-09-09 06:04:45.298451
129,view,2024-09-06 23:11:28.298451
933,view,2024-09-26 00:37:36.298451
54,click,2024-09-03 19:01:54.298451
902,view,2024-09-19 08:42:52.298451
551,view,2024-09-29 16:47:44.298451
489,purchase,2024-09-11 10:55:15.298451
757,view,2024-09-06 15:09:32.298451
274,view,2024-09-20 18:17:24.298451
336,click,2024-09-07 14:19:36.298451
389,view,2024-09-04 08:46:10.298451
618,click,2024-09-27 23:27:19.298451
43,view,2024-09-05 09:51:00.298451
443,click,2024-09-03 08:35:24.298451
544,purchase,2024-09-28 08:57:51.298451
889,click,2024-09-15 15:04:41.298451
258,view,2024-09-29 17:58:43.298451
322,view,2024-09-14 18:22:40.298451
1000,view,2024-09-27 05:56:38.298451
938,view,2024-09-08 03:05:56.298451
58,view,2024-09-02 06:41:21.298451
292,view,2024-09-16 17:53:15.298451
871,purchase,2024-09-17 12:58:51.298451
120,view,2024-09-18 06:37:10.298451
780,click,2024-09-08 18:40:44.298451
431,view,2024-09-20 12:41:46.298451
83,purchase,2024-09-17 07:35:09.298451
92,view,2024-10-01 04:23:48.298451
897,click,2024-09-15 06:44:57.298451
399,purchase,2024-09-08 17:02:49.298451
612,view,2024-09-19 05:18:39.298451
566,view,2024-09-09 17:50:42.298451
909,click,2024-09-26 13:49:35.298451
634,view,2024-09-09 22:41:47.298451
939,view,2024-10-01 01:49:19.298451
85,view,2024-09-21 13:23:22.298451
204,view,2024-09-15 18:18:38.298451
325,view,2024-09-25 00:37:13.298451
775,view,2024-09-21 10:10:37.298451
965,click,2024-09-26 20:35:57.298451
48,click,2024-09-05 02:30:37.298451
640,click,2024-09-05 06:34:30.298451
132,view,2024-09-07 11:35:18.298451
973,view,2024-09-28 12:19:24.298451
869,click,2024-09-13 11:34:47.298451
181,view,2024-09-20 11:07:38.298451
847,view,2024-09-17 14:43:59.298451
144,purchase,2024-09-07 19:16:56.298451
661,view,2024-09-24 16:52:41.298451
228,click,2024-09-09 05:56:41.298451
955,purchase,2024-09-21 02:57:56.298451
792,view,2024-09-07 13:54:28.298451
720,click,2024-09-25 03:54:16.298451
910,view,2024-09-18 15:53:52.298451
374,view,2024-09-15 14:29:18.298451
854,view,2024-09-02 10:50:52.298451
561,view,2024-09-06 17:50:09.298451
306,view,2024-09-25 02:53:04.298451
582,view,2024-09-01 19:57:43.298451
170,view,2024-09-28 05:30:54.298451
676,click,2024-09-08 06:34:29.298451
